"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","",13073.0983990131,1.60066009699357,0.184049068986439,8.69692036916258,3.41012567060031e-18,1.97660334888467e-17
"2","1-aminocyclopropane-1-carboxylate",0.286827346449215,0.349446538297759,0.679401534687129,0.514344640770766,0.607011056269365,0.667215172895973
"3","3-hydroxy-3-methylglutaryl-Coenzyme",0.102431452222336,-0.536823299378553,1.45429786600759,-0.369128850372495,0.712031685596474,NA
"4","3-hydroxyisobutyryl-Coenzyme",0.162323563561036,-0.671481992655428,0.975672463724771,-0.688224806603589,0.491311224745111,NA
"5","40S",13.6839100259551,0.336381778218952,0.210249283844773,1.59991878244542,0.109616602007701,0.146626347891692
"6","5-azacytidine",0.628028876009268,1.21049100443375,0.524124023411713,2.30955069861944,0.0209130417687741,0.0316697329588596
"7","5-nucleotidase
"7903","GART",1854.60228798575,0.175816259179544,0.0465478375995026,3.77710906126868,0.000158659267921937,0.000312139416181979
"7904","GAS1",97.1487295515645,1.57075756045086,0.300703148136152,5.22361528366725,1.75463138617718e-07,4.50926589615915e-07
"7905","GAS2",36.6958439003447,-0.396417624315809,0.110600432056565,-3.58423214941031,0.000338071297086755,0.000641900277835793
"7906","GAS2L1",653.346215865245,-0.126280838972503,0.0670426225104216,-1.8835903824149,0.0596204037811389,0.0838154911445406
"7907","GAS2L1P1",0.0482597591550819,-0.259098331861316,2.7419193247876,-0.0944952426276755,0.924715761370197,NA
"7908","GAS2L1P2",0.195612015101838,0.204692140497336,0.879173852418467,0.232823280553966,0.815898634369093,NA
"7909","GAS2L2",1.92756083408428,-0.304774021212547,0.328557626037817,-0.927612074898141,0.353608831894371,0.418956297155409
"7910","GAS2L3",366.917977047572,-0.483742312440687,0.115071061586616,-4.20385721458358,2.62404504517571e-05,5.58169733518402e-05
"7911","GAS6",3805.29335622085,-0.703960345194311,0.0618929582684962,-11.3738358108604,5.64510706916163e-30,7.92010641367983e-29
"7912","GAS7",1210.93006271885,0.648024232156052,0.115708025283261,5.60051241536309,2.13719099465128e-08,5.92065020388998e-08
"7913","GAS8",373.440320630817,0.183520765102804,0.0641144291432452,2.86239412180961,0.00420453712662286,0.00700652017086997
"7914","GASK1A",36.0255548219976,0.356961074199618,0.136398289153394,2.61704949831284,0.00886934787159945,0.014166187880691
"7915","GASK1B",1470.34509044335,-0.135706937634642,0.0877284474185625,-1.54689774671571,0.121887904505115,0.16136562261616
"7916","GAST",0.201822628359356,0.236795528701609,0.839474233383443,0.282075993860134,0.777885240237107,NA
"7917","GATA1",11.9641814741935,1.09713317108418,0.243688381082237,4.50219729890995,6.72545032154823e-06,1.51344571122264e-05
"7918","GATA2",299.097758182167,0.633766282031093,0.16314033766582,3.8847920207773,0.00010241752453367,0.000205329598501733
"7919","GATA3",110.742686529229,0.698240377348766,0.130880200402367,5.33495803950601,9.55666544858991e-08,2.5147938891712e-07
"7920","GATA4",1.15907753020592,0.330433495473983,0.528810374232035,0.624861976192987,0.532061650056894,0.596202628662313
"7921","GATA5",0.580281954396583,-0.671264071459586,0.54234684395452,-1.23770254947013,0.215826373485252,0.269903351937714
"7922","GATA6",1227.12918815324,-1.25086670298489,0.113726368475856,-10.9989153768719,3.86755682631529e-28,4.68706075924263e-27
"7923","GATAD1",1345.88114212314,-0.0118580918947965,0.0658194131471422,-0.180161009158304,0.85702616770299,0.885380457096168
"7924","GATAD2A",2648.14944268833,-0.449215260860256,0.0604116322806891,-7.43590669381482,1.03853126682195e-13,4.3038578562196e-13
"7925","GATAD2B",976.407214000059,0.219942454046331,0.090463067459773,2.43129555764991,0.0150449362682418,0.0232529623007019
"7926","GATB",470.608853058167,-0.434191888871287,0.0582260197011528,-7.4570078995575,8.85093990915653e-14,3.68981169139623e-13
"7927","GATC",971.263085037148,-0.24510217508456,0.0412991512656749,-5.93479932572544,2.94205122182727e-09,8.72035806363928e-09
"7928","GATD1",1257.50158338451,0.107402841515301,0.0592922276445474,1.81141518512634,0.070076607131378,0.0971685034254126
"7929","GATD3A",371.362169957992,-0.81786328531727,0.314888130459227,-2.59731379561533,0.00939560464395817,0.0149449773762002
"7930","GATD3B",1950.02488191056,-0.674688086280035,0.143076725595119,-4.71556840201444,2.41036897105811e-06,5.63626119431818e-06
"7931","GATM",539.506038837316,-0.476176330076497,0.100564803689656,-4.735019734598,2.19033785378789e-06,5.14482710130166e-06
"7932","GATS",0.0389561880688152,-0.273289224807204,4.84520831594121,-0.0564040195976829,0.95501995487926,NA
"7933","GBA",2379.75872079455,-0.272728749846958,0.0639034343734735,-4.2678261743029,1.97387036849957e-05,4.25112138921809e-05
"7934","GBA2",3685.32432008919,-0.0532078868879758,0.0679693001179404,-0.782822344729891,0.433731444106058,0.500682678244146
"7935","GBA3",52.6224772994304,-2.46133662379775,0.206311150315502,-11.9302161809177,8.23593344771543e-33,1.46199230322866e-31
"7936","GBAP1",142.388946248244,1.10990113146556,0.122131747182041,9.08773645734568,1.01122300420069e-19,6.54681482939053e-19
"7937","GBE1",799.656791708402,-0.1598268080406,0.0642838801327746,-2.48626572805634,0.012909153352517,0.0201716767607632
"7938","GBF1",3715.5355054001,0.438414976052517,0.0650087452914927,6.74393843607823,1.5414987683387e-11,5.40597565871322e-11
"7939","GBGT1",234.600222950289,0.88828346533879,0.0982120729122106,9.044544514734,1.50290420723754e-19,9.5942802751326e-19
"7940","GBP1",3757.48070432441,2.32682559230517,0.174603332866753,13.3263526766747,1.62657619485879e-40,5.41065849981219e-39
"7941","GBP1P1",70.3977125843108,2.33302961771036,0.209625346948826,11.1295206026774,9.01188630106325e-29,1.14864406406957e-27
"7942","GBP2",4150.95181486409,1.09364358670474,0.111186063094908,9.83615712493752,7.86581107633717e-23,6.41045017562629e-22
"7943","GBP3",4656.46345628766,0.270193357950318,0.171829633964599,1.57244912717433,0.115846428548149,0.154003968458317
"7944","GBP4",2512.83377404967,2.1703013473418,0.16239711738049,13.3641617680742,9.79319897577107e-41,3.34700489385347e-39
"7945","GBP5",1732.13619990382,2.11453391084286,0.167311171629162,12.6383306640733,1.29780077542119e-36,3.15582357754263e-35
"7946","GBP6",9.02626925899973,1.14066059103962,0.218330469104964,5.2244681913418,1.74656347118125e-07,4.48956122722811e-07
"7947","GBP7",1.57459018946127,1.22166211056738,0.503145650924455,2.42804863427271,0.0151803074808765,0.0234524871638128
"7948","GBX1",0.590024415952207,-2.24296858425302,0.468200788115297,-4.79061257731304,1.66272901030415e-06,3.94355066233143e-06
"7949","GBX2",0.339312459576958,-0.00864075211698128,0.610441583115221,-0.0141549205623994,0.988706384559938,0.991226451810303
"7950","GC",0.454686973907421,0.131995225642801,0.601330006474097,0.219505469911199,0.826256319390671,0.859493651962086
"7951","GCA",1022.25598523223,0.138875366735209,0.112111058412381,1.23873031529486,0.215445387981228,0.269502069884457
"7952","GCAT",330.566353163924,-0.297419203931524,0.0951564605523066,-3.12558077722989,0.00177454326485774,0.0030927596391566
"7953","GCC1",848.242099163054,-0.364337356096162,0.0394676234787345,-9.23129704762868,2.67374317378772e-20,1.81158422352132e-19
"7954","GCC2",3290.79405674088,-0.112204173981176,0.0831084327866109,-1.35009372958905,0.176985919450202,0.226033854404644
"7955","GCDH",595.384426259349,-0.0359228038235531,0.0458989247642252,-0.782650225644333,0.433832538754968,0.500773594135117
"7956","GCFC2",428.167821585543,-0.0888414312064417,0.0659373832848927,-1.3473605833369,0.177864128909152,0.227064899791777
"7957","GCG",2675.63901452773,-1.82612457919674,0.223975496661634,-8.15323375286679,3.54319808131954e-16,1.77080920604512e-15
"7958","GCGR",15.4630234241777,2.92101973828433,0.319339834789951,9.14705721008987,5.85055351659191e-20,3.86816307407817e-19
"7959","GCH1",1129.0684087373,0.0127648988771771,0.073155293599182,0.174490433284514,0.861480048572385,0.888794012654405
"7960","GCHFR",392.519445760129,-0.215095848740585,0.108038543192439,-1.99091770755789,0.0464899351180741,0.0665541373697223
"7961","GCK",18.5339940563899,-0.153163113267702,0.131902214146771,-1.16118682509206,0.245565931419973,0.303154461892837
"7962","GCKR",9.74172665082208,2.26330504590517,0.310823591401531,7.281638551629,3.29789703848167e-13,1.31353440402841e-12
"7963","GCLC",1514.12156656636,-0.0612892563351697,0.0769182320836132,-0.796810517804749,0.425561085712064,0.492697110336404
"7964","GCLM",831.308209909012,0.321309986519825,0.0964871226740141,3.33008154471954,0.000868205536933606,0.00157332429179207
"7965","GCM1",5.36526137722425,0.897847482633931,0.241941796881724,3.71100609405185,0.000206437133512926,0.00040120670365463
"7966","GCM2",0.0934041401928258,-0.394339157004753,1.51737548066409,-0.259882383780293,0.794954500223259,NA
"7967","GCN1",3594.99409281214,0.410047762516803,0.0719838583644832,5.69638488174066,1.22374452548679e-08,3.45241629060196e-08
"7968","GCNA",64.1173402150669,1.33394742772446,0.115493783165487,11.54995005933,7.38633448424244e-31,1.1106748433046e-29
"7969","GCNAP1",0.131360200353081,0.0663574592141947,0.997302552975732,0.0665369390825268,0.946950349720492,NA
"7970","GCNT1",893.36509816642,-1.05006342833818,0.100973281324353,-10.3994186834941,2.49450318163563e-25,2.46373397939519e-24
"7971","GCNT1P1",0.469638330347699,0.907936842598962,0.628187410473551,1.44532798247982,0.148365781546218,0.192810156634952
"7972","GCNT1P3",0.265007131694392,0.516668094794582,0.775921870719716,0.665876442321879,0.505490079233518,0.571396973702505
"7973","GCNT1P4",0,NA,NA,NA,NA,NA
"7974","GCNT1P5",0.00901491118347233,-0.372637697888327,5.10183938334423,-0.0730398724634222,0.941774388589967,NA
"7975","GCNT2",215.785834012979,-0.840289147243696,0.092982164008233,-9.03710035366884,1.60882659741313e-19,1.02471284982961e-18
"7976","GCNT2P1",0.052280145189489,-0.223285864643314,2.40138411971211,-0.0929821525887676,0.925917739960594,NA
"7977","GCNT3",13509.3381018232,-0.00463028135555132,0.110553040329218,-0.0418828947784948,0.966592052421449,0.97375842800669
"7978","GCNT4",143.549762719387,-0.445004451467647,0.169179354732929,-2.63037089939338,0.00852917576898447,0.0136598414701501
"7979","GCNT7",7.70940235727796,0.804774573700109,0.225378348163437,3.57077146166904,0.000355931355242651,0.000674112963329937
"7980","GCOM1",325.397884017102,-1.20403908985074,0.138059196750041,-8.72117988655746,2.75317630988246e-18,1.60703496140496e-17
"7981","GCSAM",277.833586671431,0.514236784981562,0.130258703760543,3.94781131805898,7.88689233547102e-05,0.000159732724626251
"7982","GCSAML",65.7355159644696,0.0439921199922642,0.166108191283232,0.264840160213731,0.791132597798156,0.830120879984773
"7983","GCSH",434.441982928752,-0.0945437309561963,0.0822195245012574,-1.14989391546226,0.250187567247299,0.308219708320615
"7984","GCSHP2",0.0370343635656881,-0.316400344077585,3.5342071028753,-0.089525128230367,0.92866458432001,NA
"7985","GCSHP3",4.40837927486144,-1.24190464487743,0.299483789030016,-4.14681759202985,3.37128433033755e-05,7.09844052274304e-05
"7986","GCSHP4",0.543664360984978,0.847849609937103,0.53355491735443,1.58905781271976,0.112047341105266,0.149503147508187
"7987","GDA",1500.81159061204,-0.234895621016986,0.105388078901939,-2.22886329710546,0.0258230018370386,0.0385069305744201
"7988","GDAP1",234.727525669271,0.093836724788038,0.0620336290979733,1.51267507886466,0.13036221284024,0.171490982331643
"7989","GDAP1L1",2.14887850455433,0.347178960971434,0.429642103540855,0.808065499424268,0.419052877186402,0.485940079989611
"7990","GDAP2",570.254720326314,-0.259317022513978,0.0552033781480018,-4.69748466875961,2.63384947851691e-06,6.14153981366087e-06
"7991","GDE1",3545.82704379771,-0.819583323417617,0.0661164417575056,-12.3960591591361,2.7449470953019e-35,5.99821772677081e-34
"7992","GDF1",2.88820190022419,0.0888922847599421,0.289465212032535,0.307091426067291,0.758773783621265,0.802401218281627
"7993","GDF10",8.92261020678347,-1.48369871489774,0.276371725548791,-5.36848952964189,7.93987997158344e-08,2.10366472421296e-07
"7994","GDF11",319.894723026192,0.891732824971897,0.100470817783234,8.87554062609319,6.95945250015002e-19,4.22733473458043e-18
"7995","GDF15",775.022776758969,-1.16806753370767,0.197446128484423,-5.91587965119215,3.30106526126052e-09,9.74198804231418e-09
"7996","GDF2",0.037896766833939,-0.287507137846874,2.9935171917771,-0.0960432559521051,0.923486218049903,NA
"7997","GDF3",0.945900049561514,0.759528728612657,0.525290950650631,1.44592007090908,0.148199621701095,0.192627718623605
"7998","GDF5",2.70053527230418,0.77298415308124,0.318699060273964,2.42543593450435,0.0152900141698118,0.0236105873467305
"7999","GDF6",14.4844248669483,-0.617127005108671,0.277213538395329,-2.22617917104972,0.0260021825516049,0.0387535021476423
"8000","GDF7",117.813783179141,1.63048452164865,0.234328330873425,6.95811947096303,3.4484472861765e-12,1.2728710595337e-11
"8001","GDF9",11.9946492536471,0.114268104816754,0.174589412136493,0.65449618862007,0.512792181873637,0.577931971930173
"8002","GDI1",2812.06072349761,0.378095625279457,0.0427641603524875,8.84141351456381,9.45151522046634e-19,5.70859297529244e-18
"8003","GDI2",9693.1279603779,-0.226247052411654,0.0360269554813562,-6.27993815710395,3.38707731416616e-10,1.07943530040661e-09
"8004","GDI2P1",0.282073480802974,0.0835244983886779,0.656124995696596,0.127299674507906,0.89870321791678,0.919706323977279
"8005","GDNF",97.3142229078671,0.866300086964206,0.150997214704615,5.7371924949668,9.62588321765647e-09,2.74256324488319e-08
"8006","GDPD1",87.3788843308165,-0.756065988028069,0.105883911015868,-7.14051814647048,9.29797551411357e-13,3.5793374146021e-12
"8007","GDPD2",165.89983038099,-1.86066647715659,0.204674210049241,-9.0908692243588,9.82503905364845e-20,6.3719229268961e-19
"8008","GDPD3",765.159299962671,-0.147143580696824,0.120040722295279,-1.22578053416637,0.22028127437527,0.274845910818273
"8009","GDPD4",5.4164295608535,1.15786975700019,0.327413997366947,3.5364088472446,0.000405606445664648,0.000763598665866269
"8010","GDPD5",234.684291262688,1.13812226857255,0.10908689513494,10.4331713462437,1.74949761265825e-25,1.75262450740831e-24
"8011","GDPGP1",264.89526454216,0.014007063689102,0.0675100565359729,0.207481142926289,0.835634118023049,0.867156534416883
"8012","gem",0.00724204425809363,-0.545411239408093,5.10183956754249,-0.106904819759123,0.914864489491946,NA
"8013","GEM",659.587559036264,1.96729166788122,0.191498021610239,10.2731696721405,9.30946999520599e-25,8.80296572300794e-24
"8014","GEMIN2",168.731529664927,-0.165239102185787,0.0652962573599391,-2.53060602348039,0.0113865666054054,0.0179173795124361
"8015","GEMIN2P1",0,NA,NA,NA,NA,NA
"8016","GEMIN2P2",0.0481979056664931,-0.273306300082729,2.73922686661773,-0.0997749779010435,0.920522973645255,NA
"8017","GEMIN4",730.975829839153,-0.106510637959094,0.0557235130103463,-1.91141283463801,0.0559515486144931,0.0790443427811553
"8018","GEMIN5",481.787481986605,-0.0374424423377686,0.0651218188772205,-0.574960020824386,0.565318335618069,0.627975874971863
"8019","GEMIN6",250.696075792101,-0.119694636768329,0.079068967307188,-1.51380043074685,0.130076463351345,0.171145205888331
"8020","GEMIN7",389.693237526437,-0.0628754680924075,0.0717921774320108,-0.87579831593703,0.381139685743962,0.447483858105343
"8021","GEMIN8",408.395214164539,0.150495592916612,0.0568249263754791,2.64840805815022,0.00808718438102036,0.0130021279184279
"8022","GEMIN8P2",0.0290519857858854,-0.316508794198672,3.60911229987467,-0.0876971310118731,0.930117399960393,NA
"8023","GEMIN8P3",0.0174519823152857,-0.358495151700319,5.10183920643297,-0.070267826404307,0.943980489997604,NA
"8024","GEMIN8P4",25.0232303550139,-1.09311089248882,0.117175596763591,-9.32882718484661,1.07048837338102e-20,7.47208883287749e-20
"8025","geminin,",0.0171077840305718,-0.344349880957912,5.10183902733962,-0.0674952461480297,0.946187446421622,NA
"8026","GEN1",1159.27079319378,0.815083908885221,0.110924546443031,7.3480932311392,2.01054250808249e-13,8.15271532487058e-13
"8027","general",2112.8799359907,0.903114044716612,0.113633239388791,7.9476221004899,1.90125581897489e-15,9.00090933515677e-15
"8028","General",1.14424516743746,-0.321597442102243,0.382805509233338,-0.840106619014758,0.400848609236068,0.467562864526957
"8029","GET1",434.197147602473,-0.273053023273785,0.0584044611600465,-4.67520832912977,2.93655363027113e-06,6.8204218782429e-06
"8030","GET1-SH3BGR",6.98161296309129,0.212101103837361,0.641670614218175,0.330545141288399,0.74098808969231,0.786684773471132
"8031","GET3",1395.42848198042,-0.303238844532273,0.0525145052365171,-5.77438258565957,7.72357650574427e-09,2.21690673740605e-08
"8032","GET4",1323.78151074951,-0.219680640857976,0.0535694248216029,-4.10085868178645,4.11619886533323e-05,8.59906620953886e-05
"8033","GFAP",26.8998675056907,0.429551786222337,0.138617160279352,3.09883556521192,0.00194282816823354,0.00337294467491064
"8034","GFER",898.419873815659,-0.73621756850567,0.0829539928420474,-8.87501063279137,6.99267331605603e-19,4.24521353224956e-18
"8035","GFI1",425.624494571531,0.339387315947976,0.0667472375388745,5.08466460129248,3.68276268834529e-07,9.21821362874862e-07
"8036","GFI1B",41.3954182735621,-0.502058631441694,0.135249850800918,-3.71208270078392,0.000205560794431299,0.000399607475171224
"8037","GFM1",1841.43360376756,-0.556548028954628,0.0731039012728701,-7.61310982401934,2.67578233764516e-14,1.16104199748412e-13
"8038","GFM2",862.576654330932,-0.383432803024753,0.0433008002957097,-8.85509737478787,8.36107887659743e-19,5.06089061591022e-18
"8039","GFOD1",392.493858451557,-0.396770894837115,0.0666926371496919,-5.94924585073103,2.6938076318223e-09,8.01315737103039e-09
"8040","GFOD2",888.868994061949,-0.622051791441832,0.0499562547824815,-12.4519300766312,1.36503663245953e-35,3.04518619897938e-34
"8041","GFPT1",9340.00060465059,-0.370750085823717,0.108402848608756,-3.42011386768825,0.000625949288546624,0.00115532913881743
"8042","GFPT2",177.987945968553,1.9956572738724,0.215171548476285,9.2747265519277,1.78075224931312e-20,1.22655807771429e-19
"8043","GFRA1",296.897745715547,0.111490963834169,0.142684079719451,0.781383347416091,0.434577062361533,0.501573502595417
"8044","GFRA2",119.579592320114,-0.505693440307094,0.156001507035106,-3.24159330200121,0.00118863518028185,0.00211972643508742
"8045","GFRA3",79.4621191611406,-1.21896891688066,0.164338389960273,-7.41743251333622,1.19412498763678e-13,4.92228023953237e-13
"8046","GFRA4",0.0357704370654726,-0.287506861327519,3.00599310601702,-0.0956445511308803,0.923802880683725,NA
"8047","GFRAL",0.915814598487856,0.414756930321225,0.493094686653501,0.841130398577335,0.4002748869785,0.467039446581212
"8048","GFUS",3398.69098691926,0.570500610172449,0.096297317599542,5.92436658043694,3.13503417192919e-09,9.26419746074239e-09
"8049","GFY",0.159070398704596,0.104879571060207,1.00162889542586,0.104709011031093,0.91660671150359,NA
"8050","GGA1",2017.67372927403,0.26241068239184,0.0419118820591947,6.26100927706422,3.82493767809378e-10,1.21363009825732e-09
"8051","GGA2",2863.15043108302,0.576851482638775,0.102868222484533,5.6076742526149,2.05063514450474e-08,5.68789310154599e-08
"8052","GGA3",1564.25527031144,0.323461867057254,0.0479975090529656,6.7391386228046,1.59328340319259e-11,5.58321567670801e-11
"8053","GGACT",195.409859551454,-0.304712514988635,0.0842432017729717,-3.61705762097943,0.000297970989750756,0.000569038295588753
"8054","GGCT",1101.69566739537,-0.332723257851792,0.0770083750424637,-4.32061133179765,1.55597527647215e-05,3.38886396915734e-05
"8055","GGCX",1017.52746632111,0.185091889056573,0.0481829052529624,3.84144310279408,0.000122313089881867,0.000243237491143467
"8056","GGH",1468.81473995974,-1.14618878367977,0.100027572536429,-11.4587283747422,2.12613450661754e-30,3.09130581312355e-29
"8057","GGN",11.5203904527224,1.0586812428769,0.244345750405324,4.33271804858789,1.47279676296956e-05,3.21488690738756e-05
"8058","GGNBP1",8.96237491511888,1.11515428963491,0.209357816676862,5.32654718766064,1.00097284757865e-07,2.6296943101375e-07
"8059","GGNBP2",2096.85171730847,-0.0124869740639449,0.0346242167903,-0.360642787664245,0.718366498960213,0.76750916425833
"8060","GGPS1",683.374311040049,-0.381196028828011,0.0437000269668738,-8.72301587175156,2.7088828786529e-18,1.58159255571349e-17
"8061","GGT1",571.311310297927,-0.940762796795953,0.152357419708748,-6.1747094338717,6.62852615613416e-10,2.06118663551356e-09
"8062","GGT2",2.63157482066948,-0.989175862284825,0.669275740205964,-1.477979557395,0.139413250017264,0.182317141004845
"8063","GGT3P",0.838078204814428,-1.00038887746352,0.539398953543593,-1.8546362963655,0.0636481813104305,0.0889978009263883
"8064","GGT4P",1.71892356154708,-0.921356254316779,0.411787956439678,-2.2374531355478,0.025256739025128,0.0377126932363216
"8065","GGT5",949.153476309145,1.65478727050813,0.133915039542584,12.3569934800484,4.46547554756106e-35,9.60805775204596e-34
"8066","GGT6",3272.10883479819,-1.33855756170767,0.134001422871636,-9.98912946610953,1.70068703531658e-23,1.4492361585632e-22
"8067","GGT7",623.143881933058,-0.429865436522234,0.0710060308616781,-6.05392853685379,1.41355338954208e-09,4.29545500047892e-09
"8068","GGT8P",5.96794991340556,-0.313711215652553,0.258232702800581,-1.21483922156372,0.224427418434598,0.279552348536235
"8069","GGTA1",325.895263937682,0.119679727794005,0.108374704933311,1.10431422044149,0.269456856275657,0.32929372711764
"8070","GGTA2P",1.15192287264128,1.32659670015884,0.485856374841254,2.73042975013406,0.00632518121133413,0.0103247588466044
"8071","GGTLC1",0.386212432553768,-0.254314259030728,0.558161758636458,-0.455628238760026,0.648657333173734,0.705015899425634
"8072","GGTLC2",1.05305979678693,0.106768171888239,0.60555448395241,0.176314724302544,0.860046694921577,0.88784634405294
"8073","GGTLC3",0.303296397590968,0.0727497426830831,1.01943195652703,0.0713630195887962,0.943108840634559,0.955251872917408
"8074","GGTLC4P",3.30706845185365,2.33146632108917,0.483461506680131,4.82244457702341,1.41809439320747e-06,3.38302578162498e-06
"8075","GGTLC5P",1.24910207245425,-0.00585840175446432,0.491554936720144,-0.011918101755938,0.990490955727989,0.992438649777508
"8076","GH1",1.49880285601443,0.890592425901531,0.488942610644447,1.82146617315209,0.0685360241616311,0.0952325789714143
"8077","GH2",0.043058951906505,-0.301709577808234,3.49289243584673,-0.0863781474378827,0.931165817812601,NA
"8078","GHDC",769.262234979123,-0.104225375711677,0.0504840506677378,-2.06452086021464,0.0389683581436041,0.056420444919574
"8079","GHITM",8483.07134798252,-0.783924744641058,0.0661627101962564,-11.8484376216713,2.1924024161682e-32,3.74076576639963e-31
"8080","GHR",249.738535348344,-1.95359764430471,0.145926162985324,-13.38757632174,7.14752894147922e-41,2.4806129855722e-39
"8081","GHRH",0.399662471355613,-1.88123254873589,0.499764996138096,-3.76423431667483,0.000167060180426247,0.000327804064865785
"8082","GHRHR",1.38308852399951,0.44232440419017,0.453973124820625,0.974340506092607,0.329887498809592,0.393890276578316
"8083","GHRL",46.5614564003667,1.19751361673611,0.170917061957991,7.00640183617507,2.44524979225521e-12,9.12036272539707e-12
"8084","GHSR",2.06264388956161,-0.199831380902875,0.313827782069352,-0.636754909285612,0.524284501051481,0.588871224566616
"8085","GID4",351.68602831209,-0.14099021680288,0.0473091960154573,-2.98018627830442,0.00288073145809447,0.00489955995224382
"8086","GID8",1937.19569527743,-0.436254119263353,0.0297510662038012,-14.6634784876252,1.10465666698571e-48,7.24163815023963e-47
"8087","GIGYF1",2013.12956432035,0.506552295488791,0.0742399470061439,6.82317695413859,8.90488535851456e-12,3.18163394004616e-11
"8088","GIGYF2",2127.78283586127,-0.133861634630576,0.0576725817459048,-2.32106194275031,0.0202835009900647,0.0307954284686971
"8089","GIMAP1",458.597421900279,0.719604982943416,0.108160645924066,6.65311284705729,2.8695799935937e-11,9.90546319574608e-11
"8090","GIMAP1-GIMAP5",104.865289367113,1.14572278481075,0.258645047066119,4.4297109022848,9.43594948980492e-06,2.09854168794193e-05
"8091","GIMAP2",495.687438610409,0.889240683111614,0.0887349253665992,10.0213155016225,1.22856671033372e-23,1.06349288207267e-22
"8092","GIMAP4",1162.11419070611,1.03239675994264,0.10898987570975,9.47240973732285,2.73461009668688e-21,1.99058306388701e-20
"8093","GIMAP5",1059.80281283363,1.05203514431477,0.110720173532576,9.50174761065776,2.06396921150227e-21,1.51371245410143e-20
"8094","GIMAP6",1057.54255512053,0.700600819820346,0.0918870449561455,7.6245875591572,2.44815849475913e-14,1.06640204881484e-13
"8095","GIMAP7",685.814513013142,0.869172967145637,0.115608767386493,7.51822709293226,5.55239996549988e-14,2.35187619925387e-13
"8096","GIMAP8",838.124644296536,1.07995414782134,0.096623776904788,11.1768985069329,5.29067847381275e-29,6.86441038095381e-28
"8097","GIMD1",0.0899818818836715,-0.145470747573008,2.35246596893713,-0.0618375566294519,0.950692194838002,NA
"8098","GIN1",170.6696065063,-0.103131383671421,0.0725199523191586,-1.42211047268127,0.154994183015698,0.200461756020322
"8099","GINM1",1287.37359837929,-0.597087953349856,0.0537203378820969,-11.1147467959029,1.06351901582183e-28,1.34788560399804e-27
"8100","GINS",0.0116114883521121,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"8101","GINS1",332.975970872504,0.189710277943837,0.0855474202539017,2.21760372645702,0.0265818635927529,0.0395359812756747
"8102","GINS2",372.259590136138,-0.0958213968254361,0.0955475002896768,-1.00286660074758,0.315925229310791,0.378873325891126
"8103","GINS3",251.165122291881,0.188055475802822,0.0673859853423177,2.79072087241151,0.0052590804225204,0.00867421342403497
"8104","GINS4",270.265857393348,0.382409463136055,0.119465701253679,3.20099793600197,0.00136952513126435,0.00242384120837729
"8105","GIP",0.0717520006946099,-0.534783035294353,2.35794195091276,-0.226800763728445,0.820578669808446,NA
"8106","GIPC1",6120.59063878677,-1.00640692446232,0.114049104257126,-8.82432993242415,1.1011713607871e-18,6.62416471930421e-18
"8107","GIPC2",890.560746857096,-1.52297726445392,0.112973100056838,-13.480884066098,2.02663817332589e-41,7.37617335161793e-40
"8108","GIPC3",180.594213053907,0.435956374258498,0.114072889772617,3.82173516536222,0.000132515960795413,0.000262502901664001
"8109","GIPR",409.003971104335,1.47672874371581,0.123867118704805,11.9218785352962,9.10324984246109e-33,1.60958092640361e-31
"8110","GIT1",1402.98330081122,-0.304437473123977,0.0412712065638516,-7.37651012584222,1.6249253293784e-13,6.63585170941051e-13
"8111","GIT2",1645.38556632109,0.522633750748113,0.0676263827259726,7.72825234296305,1.09033051503005e-14,4.87830974794924e-14
"8112","GJA1",1893.67363364682,1.34686719195504,0.156320663534692,8.61605344744541,6.93014175254172e-18,3.94149614642276e-17
"8113","GJA10",0.266925439769332,0.287701211686099,0.680422254169463,0.422827457395956,0.672421153111691,0.726784083920557
"8114","GJA1P1",0.515590354815446,1.04634407274948,0.582504972131376,1.79628350453546,0.0724494399383342,0.100254070078845
"8115","GJA3",3.6382677038316,0.697793216992653,0.321865641305962,2.16796429143967,0.0301614035311684,0.0444500537151644
"8116","GJA4",203.340542306662,1.7626355653767,0.16654183699967,10.5837403809843,3.54516816985994e-26,3.7298296747189e-25
"8117","GJA5",154.409648583579,1.945906309202,0.211123861624559,9.21689426400509,3.05829875055441e-20,2.06216715751669e-19
"8118","GJA6P",0.0936912775838775,-0.265536026467466,1.64629591835065,-0.161293011485745,0.871862627222902,NA
"8119","GJA8",0.0680076229219777,-0.708705805802714,2.36203397895813,-0.300040478721359,0.764146279627353,NA
"8120","GJA9",13.6567391247858,-0.289637664725102,0.240078728465483,-1.20642785213161,0.227652562221231,0.283113514810295
"8121","GJB1",941.369092360068,-1.38761610136338,0.132338531167186,-10.4853521429097,1.00869195001082e-25,1.0270151461963e-24
"8122","GJB2",1312.07529454714,-0.706887737387068,0.0843682200585562,-8.3786020008061,5.35600547384642e-17,2.84621101501865e-16
"8123","GJB3",645.119388879836,-0.445052182931143,0.1334263725251,-3.33556383575834,0.000851266071565866,0.00154462490486458
