"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","",13073.0983990131,1.60066009699357,0.184049068986439,8.69692036916258,3.41012567060031e-18,1.97660334888467e-17
"2","1-aminocyclopropane-1-carboxylate",0.286827346449215,0.349446538297759,0.679401534687129,0.514344640770766,0.607011056269365,0.667215172895973
"3","3-hydroxy-3-methylglutaryl-Coenzyme",0.102431452222336,-0.536823299378553,1.45429786600759,-0.369128850372495,0.712031685596474,NA
"4","3-hydroxyisobutyryl-Coenzyme",0.162323563561036,-0.671481992655428,0.975672463724771,-0.688224806603589,0.491311224745111,NA
"5","40S",13.6839100259551,0.336381778218952,0.210249283844773,1.59991878244542,0.109616602007701,0.146626347891692
"6","5-azacytidine",0.628028876009268,1.21049100443375,0.524124023411713,2.30955069861944,0.0209130417687741,0.0316697329588596
"7","5-nucleotidase
ENST00000447718.1	ENSG00000232472.1	EEF1B2P3
ENST00000438281.1	ENSG00000214111.3	PAFAH1B2P1
ENST00000431951.1	ENSG00000234587.1	MRPL50P1
ENST00000455473.1	ENSG00000241114.1	ribosomal
ENST00000429308.1	ENSG00000235571.1	SNX18P14
ENST00000419089.1	ENSG00000225071.1	RPS26P58
ENST00000481235.1	ENSG00000242222.1	succinate
ENST00000447543.1	ENSG00000228834.1	ATP5MFP2
ENST00000442571.1	ENSG00000228225.1	CRLF3P3
ENST00000449856.1	ENSG00000213399.3	RPS2P17
ENST00000572673.1	ENSG00000262471.1	diazepam
ENST00000518337.1	ENSG00000253564.1	heat
ENST00000575289.1	ENSG00000262518.1	tubulin,
ENST00000520038.1	ENSG00000253885.1	ARF1P3
ENST00000520123.1	ENSG00000253942.1	myeloid
ENST00000560500.1	ENSG00000259449.1	NIFKP8
ENST00000416294.1	ENSG00000224948.1	ATP5MC1P8
ENST00000467527.1	ENSG00000244561.1	chromosome
ENST00000424829.1	ENSG00000232846.1	SLC25A6P3
ENST00000427577.1	ENSG00000219201.4	novel
ENST00000439132.1	ENSG00000230787.1	PSAT1P3
ENST00000426313.1	ENSG00000228092.1	COX6CP15
ENST00000394628.2	ENSG00000213514.2	novel
ENST00000406786.1	ENSG00000217041.1	ribosomal
ENST00000508850.1	ENSG00000249253.1	ATP
ENST00000478110.1	ENSG00000241506.1	PSMC1P1
ENST00000426657.1	ENSG00000230477.1	homeobox
ENST00000454518.1	ENSG00000230964.1	pseudogene
ENST00000418877.1	ENSG00000231351.2	WBP1P1
ENST00000631775.1	ENSG00000282502.1	FKBP1AP4
ENST00000472163.1	ENSG00000213300.5	HNRNPA3P6
ENST00000463605.1	ENSG00000239797.1	RPL21P39
ENST00000465776.1	ENSG00000240271.1	ribosomal
ENST00000534330.1	ENSG00000254481.1	PTP4A2P2
ENST00000513734.1	ENSG00000250787.1	HMGN1P17
ENST00000526843.2	ENSG00000254612.2	DNAJB6P1
ENST00000482895.2	ENSG00000242970.2	ribosomal
ENST00000519781.1	ENSG00000253495.1	CYCSP23
ENST00000560090.2	ENSG00000259565.2	KRT8P23
ENST00000510337.1	ENSG00000235275.3	KRT18P16
ENST00000508098.1	ENSG00000248674.1	RBBP4P6
ENST00000592511.1	ENSG00000267184.1	IMP1
ENST00000407725.2	ENSG00000217169.2	MTHFD2P2
ENST00000483964.1	ENSG00000241961.1	ribosomal
ENST00000519723.1	ENSG00000253454.1	NDUFA5P2
ENST00000494933.1	ENSG00000213307.4	RPL18P11
ENST00000519490.1	ENSG00000253991.1	SAP
ENST00000529936.1	ENSG00000254591.1	HIG1
ENST00000531876.1	ENSG00000255352.1	PPP1R10P1
ENST00000502804.2	ENSG00000250339.2	CXCL1P1
ENST00000512182.2	ENSG00000213522.4	RAC1P5
ENST00000440335.1	ENSG00000213087.3	ribosomal
ENST00000605967.1	ENSG00000272383.1	zinc
ENST00000424692.3	ENSG00000250484.2	PPIAP76
ENST00000596280.1	ENSG00000268723.1	PPPDE
ENST00000460498.2	ENSG00000241942.2	RPS20P20
ENST00000604710.1	ENSG00000271219.1	glucosamine-phosphate
ENST00000550105.1	ENSG00000257146.1	esterase
ENST00000644434.1	ENSG00000285030.1	novel
ENST00000541142.1	ENSG00000256465.1	Impact
ENST00000557286.2	ENSG00000258990.2	MPPE1P1
ENST00000436549.1	ENSG00000231722.1	CHMP4AP1
ENST00000423198.1	ENSG00000225428.1	NDUFB4P7
ENST00000426710.1	ENSG00000233444.1	mitochondrially
ENST00000493219.2	ENSG00000244171.4	PBX2P1
ENST00000474557.1	ENSG00000244101.1	HMGN1P10
ENST00000403051.2	ENSG00000219087.2	MTND4LP19
ENST00000526011.2	ENSG00000254572.2	GLULP3
ENST00000532044.1	ENSG00000213184.3	SUMO-1
ENST00000414577.1	ENSG00000236813.1	BTF3P8
ENST00000504479.2	ENSG00000248979.2	LAMTOR3P2
ENST00000513804.1	ENSG00000251552.1	COQ10BP2
ENST00000407496.2	ENSG00000218772.2	FAM8A6P
ENST00000604148.1	ENSG00000270741.1	PRELID3BP8
ENST00000604441.1	ENSG00000270257.1	small
ENST00000514311.2	ENSG00000248915.2	ACTR6P1
ENST00000514750.2	ENSG00000248139.2	CUL4AP1
ENST00000504736.2	ENSG00000248547.2	speckle-type
ENST00000514821.1	ENSG00000250215.1	CIR1P2
ENST00000506038.1	ENSG00000251005.1	H3P15
ENST00000509604.2	ENSG00000250277.2	speckle-type
ENST00000406305.1	ENSG00000218173.1	novel
ENST00000506481.1	ENSG00000248506.1	TUBAP10
ENST00000428212.1	ENSG00000236395.1	ribosomal
ENST00000599458.1	ENSG00000269009.1	SLC6A21P
ENST00000406040.2	ENSG00000219387.2	ATF1P1
ENST00000418701.2	ENSG00000213118.4	CHCHD2P4
ENST00000519677.1	ENSG00000214890.3	Impact
ENST00000404609.2	ENSG00000216480.2	60S
ENST00000585345.1	ENSG00000267526.1	UDP-N-acetyl-alpha-D-galactosamine
ENST00000404698.1	ENSG00000216723.1	NUDT19P3
ENST00000660293.1	ENSG00000286676.1	ACTBP4
ENST00000490423.2	ENSG00000230929.5	ribosomal
ENST00000555268.2	ENSG00000259064.2	late
ENST00000492168.1	ENSG00000239465.1	ribosomal
ENST00000531724.1	ENSG00000254935.1	scaffold
ENST00000404439.2	ENSG00000219529.2	ribosomal
ENST00000600996.1	ENSG00000268034.1	tropomyosin
ENST00000429430.1	ENSG00000235555.1	SUMO1P4
ENST00000596823.1	ENSG00000268407.1	zinc
ENST00000598554.1	ENSG00000269800.1	PLEKHA3P1
ENST00000515849.2	ENSG00000249026.2	CTNNA1P1
ENST00000455595.1	ENSG00000168129.8	DHFRP3
ENST00000429351.1	ENSG00000237383.1	CNN2P11
ENST00000507366.1	ENSG00000184188.6	actin,
ENST00000605793.1	ENSG00000270569.1	proteasome
ENST00000447288.1	ENSG00000226366.1	CCDC12P1
ENST00000418898.1	ENSG00000221849.2	zinc
ENST00000534017.1	ENSG00000255413.1	zinc
ENST00000578331.1	ENSG00000266501.1	ATG12P1
ENST00000537101.1	ENSG00000255780.1	chromosome
ENST00000549976.1	ENSG00000258134.1	WW
ENST00000604396.1	ENSG00000271379.1	family
ENST00000546707.1	ENSG00000258116.1	PPIAP45
ENST00000558165.3	ENSG00000259581.3	TYRO3P
ENST00000530657.1	ENSG00000254502.1	FNTAP1
ENST00000529735.1	ENSG00000255006.1	ELOCP22
ENST00000468439.2	ENSG00000240890.2	G2/M-phase
ENST00000417406.1	ENSG00000226860.1	RBX1P1
ENST00000479738.1	ENSG00000242899.1	RPL7P16
ENST00000491837.1	ENSG00000174715.7	PPIAP72
ENST00000520516.1	ENSG00000253556.1	MTCO1P4
ENST00000465598.1	ENSG00000239412.1	RPL21P71
ENST00000635554.1	ENSG00000282989.1	PDCL3P2
ENST00000519761.3	ENSG00000253176.3	TAF9B
ENST00000419341.1	ENSG00000230169.1	RPL30P16
ENST00000521867.1	ENSG00000253173.3	H2AZP2
ENST00000510575.1	ENSG00000249820.1	pseudogene
ENST00000485389.1	ENSG00000243116.1	chromosome
ENST00000519377.1	ENSG00000253580.1	TRMT10BP1
ENST00000619258.1	ENSG00000275515.1	cytochrome
ENST00000603758.1	ENSG00000271053.1	hepatitis
ENST00000548625.2	ENSG00000257465.2	ELOCP32
ENST00000504752.2	ENSG00000248639.2	UDP
ENST00000655194.1	ENSG00000287924.1	tigger
ENST00000506031.2	ENSG00000249018.2	GAPDHP56
